verb,lang,cell_id,zipf,tier,irregular_probed,in_census,probed_tense,probed_person,probed_number,gold_past_1sg,gold_past_1sg_alts,gold_participle,gold_participle_alts,ending,seed,experiment
bear,en,high_irregular,5.354,high,yes,yes,past,1st,singular,bore,,borne,,,42,diagnostic_1
blow,en,high_irregular,4.978,high,yes,yes,past,1st,singular,blew,,blown,,,42,diagnostic_1
forget,en,high_irregular,5.287,high,yes,yes,past,1st,singular,forgot,,forgotten,,,42,diagnostic_1
keep,en,high_irregular,5.828,high,yes,yes,past,1st,singular,kept,,kept,,,42,diagnostic_1
mean,en,high_irregular,5.889,high,yes,yes,past,1st,singular,meant,,meant,,,42,diagnostic_1
slide,en,high_irregular,4.568,high,yes,yes,past,1st,singular,slid,,slid,,,42,diagnostic_1
spit,en,high_irregular,4.122,high,yes,yes,past,1st,singular,spat,,spat,,,42,diagnostic_1
steal,en,high_irregular,4.954,high,yes,yes,past,1st,singular,stole,,stolen,,,42,diagnostic_1
sweep,en,high_irregular,4.422,high,yes,yes,past,1st,singular,swept,,swept,,,42,diagnostic_1
tell,en,high_irregular,5.919,high,yes,yes,past,1st,singular,told,,told,,,42,diagnostic_1
assure,en,high_regular,4.419,high,no,yes,past,1st,singular,assured,,assured,,,42,diagnostic_1
change,en,high_regular,5.815,high,no,yes,past,1st,singular,changed,,changed,,,42,diagnostic_1
dump,en,high_regular,4.429,high,no,yes,past,1st,singular,dumped,,dumped,,,42,diagnostic_1
layer,en,high_regular,4.640,high,no,yes,past,1st,singular,layered,,layered,,,42,diagnostic_1
mention,en,high_regular,5.144,high,no,yes,past,1st,singular,mentioned,,mentioned,,,42,diagnostic_1
mess,en,high_regular,4.732,high,no,yes,past,1st,singular,messed,,messed,,,42,diagnostic_1
privilege,en,high_regular,4.449,high,no,yes,past,1st,singular,privileged,,privileged,,,42,diagnostic_1
save,en,high_regular,5.372,high,no,yes,past,1st,singular,saved,,saved,,,42,diagnostic_1
scrap,en,high_regular,4.150,high,no,yes,past,1st,singular,scraped,,scraped,,,42,diagnostic_1
settle,en,high_regular,4.781,high,no,yes,past,1st,singular,settled,,settled,,,42,diagnostic_1
beseech,en,low_irregular,2.884,low,yes,yes,past,1st,singular,besought,beseeched,besought,beseeched,,42,diagnostic_1
betide,en,low_irregular,2.061,low,yes,yes,past,1st,singular,betid,betided,betid,betided,,42,diagnostic_1
forswear,en,low_irregular,1.814,low,yes,yes,past,1st,singular,forswore,,forsworn,,,42,diagnostic_1
gainsay,en,low_irregular,1.831,low,yes,yes,past,1st,singular,gainsaid,,gainsaid,,,42,diagnostic_1
gird,en,low_irregular,2.546,low,yes,yes,past,1st,singular,girt,girded,girt,girded,,42,diagnostic_1
outdo,en,low_irregular,2.797,low,yes,yes,past,1st,singular,outdid,,outdone,,,42,diagnostic_1
shrive,en,low_irregular,2.198,low,yes,yes,past,1st,singular,shrove,shrived,shriven,shrived,,42,diagnostic_1
slink,en,low_irregular,2.647,low,yes,yes,past,1st,singular,slunk,slinked,slunk,slinked,,42,diagnostic_1
strew,en,low_irregular,2.017,low,yes,yes,past,1st,singular,strewed,,strewn,strewed,,42,diagnostic_1
unbind,en,low_irregular,2.080,low,yes,yes,past,1st,singular,unbound,,unbound,,,42,diagnostic_1
abjure,en,low_regular,2.140,low,no,yes,past,1st,singular,abjured,,abjured,,,42,diagnostic_1
bandy,en,low_regular,2.778,low,no,yes,past,1st,singular,bandied,,bandied,,,42,diagnostic_1
barbeque,en,low_regular,2.770,low,no,yes,past,1st,singular,barbecued,barbequed,barbecued,barbequed,,42,diagnostic_1
cockle,en,low_regular,2.638,low,no,yes,past,1st,singular,cockled,,cockled,,,42,diagnostic_1
flub,en,low_regular,2.328,low,no,yes,past,1st,singular,flubbed,,flubbed,,,42,diagnostic_1
idolize,en,low_regular,2.983,low,no,yes,past,1st,singular,idolized,,idolized,,,42,diagnostic_1
matriculate,en,low_regular,2.582,low,no,yes,past,1st,singular,matriculated,,matriculated,,,42,diagnostic_1
presage,en,low_regular,2.647,low,no,yes,past,1st,singular,presaged,,presaged,,,42,diagnostic_1
reforge,en,low_regular,1.993,low,no,yes,past,1st,singular,reforged,,reforged,,,42,diagnostic_1
upend,en,low_regular,2.733,low,no,yes,past,1st,singular,upended,,upended,,,42,diagnostic_1
cling,en,mid_irregular,3.789,mid,yes,yes,past,1st,singular,clung,,clung,,,42,diagnostic_1
forego,en,mid_irregular,3.277,mid,yes,yes,past,1st,singular,forewent,,foregone,,,42,diagnostic_1
forgo,en,mid_irregular,3.098,mid,yes,yes,past,1st,singular,forwent,,forgone,,,42,diagnostic_1
heave,en,mid_irregular,3.283,mid,yes,yes,past,1st,singular,heaved,hove,heaved,hoven,,42,diagnostic_1
knit,en,mid_irregular,3.696,mid,yes,yes,past,1st,singular,knit,knitted,knit,knitted,,42,diagnostic_1
overthrow,en,mid_irregular,3.681,mid,yes,yes,past,1st,singular,overthrew,,overthrown,,,42,diagnostic_1
stink,en,mid_irregular,3.743,mid,yes,yes,past,1st,singular,stank,stunk,stunk,,,42,diagnostic_1
wed,en,mid_irregular,3.692,mid,yes,yes,past,1st,singular,wed,wedded,wed,wedded,,42,diagnostic_1
